FRAME,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID
0,0,2209,2101
1,0,2101,2070
2,0,2070,2249
3,0,2249,2299
4,0,2299,2361
5,0,2361,2339
6,0,2339,2414
7,0,2414,2487
8,0,2487,2544
8,0,2487,11884
9,0,2544,2528
9,0,11884,11955
10,0,2528,2571
10,0,11955,12026
11,0,2571,2594
11,0,12026,12173
12,0,2594,2715
12,0,12173,12231
13,0,2715,2730
13,0,12231,12283
14,0,2730,2688
14,0,12283,12340
15,0,2688,2748
15,0,12340,12484
16,0,2748,2917
16,0,12484,12522
17,0,12522,12553
17,0,2917,12555
18,0,12553,12583
18,0,12555,12585
19,0,12585,12619
19,0,12583,12622
20,0,12619,12674
20,0,12622,12676
21,0,12676,12712
21,0,12674,12714
22,0,12712,12778
22,0,12714,12780
23,0,12778,12823
23,0,12780,12825
24,0,12823,12884
24,0,12825,12886
25,0,12886,3238
25,0,12884,12953
26,0,12953,3457
26,0,3238,3458
27,0,3457,12971
27,0,3458,12973
28,0,12971,13016
28,0,12973,13018
29,0,13016,3593
29,0,13018,3594
30,0,3593,3719
30,0,3594,3722
31,0,3719,3605
31,0,3722,3607
32,0,3605,3699
32,0,3607,3703
33,0,3699,3815
33,0,3703,3818
34,0,3815,3846
34,0,3818,3855
35,0,3846,4028
35,0,3855,4032
36,0,4028,4122
36,0,4032,4123
37,0,4122,4135
37,0,4123,4136
38,0,4135,4263
38,0,4136,4265
39,0,4263,4184
39,0,4265,4186
40,0,4184,4235
40,0,4186,4236
41,0,4235,4411
41,0,4236,4417
41,0,4236,4418
42,0,4418,4377
42,0,4417,13297
42,0,4411,13299
43,0,13299,4497
43,0,13297,4499
43,0,4377,4502
44,0,4497,4530
44,0,4499,4540
44,0,4502,4542
45,0,4530,4658
45,0,4540,4660
45,0,4542,4661
46,0,4658,4673
46,0,4660,4681
46,0,4661,4682
47,0,4673,4712
47,0,4681,4715
47,0,4682,4716
48,0,4712,4788
48,0,4715,4793
48,0,4716,4795
49,0,4788,4887
49,0,4793,4897
49,0,4795,4902
50,0,4887,4946
50,0,4902,13538
50,0,4897,13540
51,0,4946,5101
51,0,13538,13600
51,0,13540,13602
52,0,5101,5052
52,0,13602,5055
52,0,13600,5057
53,0,5052,5345
53,0,5055,5347
53,0,5057,5349
54,0,5345,5265
54,0,5347,5272
54,0,5349,5274
55,0,5265,5266
55,0,5272,5273
55,0,5274,5275
56,0,5266,5548
56,0,5273,5556
56,0,5275,5559
57,0,5548,5472
57,0,5556,5478
57,0,5559,5481
58,0,5472,5552
58,0,5478,5555
58,0,5481,5557
