FRAME,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID
0,0,17440,17533
1,0,17533,17768
2,0,17768,17911
3,0,17911,18038
4,0,18038,18218
5,0,18218,18320
6,0,18320,18427
6,0,18320,25828
7,0,18427,18519
7,0,25828,18526
8,0,18519,18609
8,0,18526,18612
9,0,18609,18721
9,0,18612,18722
10,0,18721,18799
10,0,18722,18804
11,0,18804,26727
11,0,18799,26729
12,0,26727,26865
12,0,26729,26867
13,0,26867,27109
13,0,26865,27112
14,0,27109,29759
14,0,27112,29793
15,0,29759,27347
15,0,29793,27349
16,0,27349,27468
16,0,27347,27470
17,0,27468,27735
17,0,27470,27742
18,0,27735,27810
18,0,27742,27812
19,0,27812,27886
19,0,27810,27893
20,0,27886,27969
20,0,27893,27973
21,0,27973,28058
21,0,27969,28062
22,0,28062,28118
22,0,28058,28122
23,0,28118,20020
23,0,28122,28176
24,0,20020,20119
24,0,28176,28214
25,0,20119,28285
25,0,28214,28287
26,0,28285,28356
26,0,28287,28360
27,0,28356,20418
27,0,28360,20424
28,0,20418,20536
28,0,20424,20543
29,0,20536,140559
29,0,20543,140696
30,0,140559,20766
30,0,140696,20777
31,0,20777,20867
31,0,20766,28530
32,0,20867,20969
32,0,28530,28708
33,0,20969,28791
33,0,28708,28793
34,0,28793,28951
34,0,28791,28953
35,0,28951,29034
35,0,28953,29038
36,0,29034,21341
36,0,29038,21345
37,0,21341,21420
37,0,21345,21422
38,0,21420,21489
38,0,21422,21492
39,0,21489,29249
39,0,21492,29251
40,0,29249,21639
41,0,21639,21705
42,0,21705,21787
43,0,21787,21859
44,0,21859,21934
45,0,21934,22006
46,0,22006,22080
47,0,22080,22146
48,0,22146,22204
49,0,22204,22262
50,0,22262,22329
51,0,22329,22398
52,0,22398,22487
5,1,25387,18329
6,1,18329,18431
7,1,18431,18535
8,1,18535,18621
9,1,18621,18732
10,1,18732,18818
11,1,18818,18912
12,1,18912,18994
13,1,18994,19076
14,1,19076,19168
15,1,19168,19238
16,1,19238,19336
17,1,19336,19482
18,1,19482,19524
19,1,19524,19639
20,1,19639,19748
21,1,19748,19829
22,1,19829,19929
23,1,19929,20043
24,1,20043,20150
25,1,20150,20240
26,1,20240,20344
27,1,20344,20463
28,1,20463,20563
29,1,20563,20678
30,1,20678,20800
31,1,20800,20881
32,1,20881,20991
33,1,20991,21079
34,1,21079,21159
35,1,21159,21268
36,1,21268,21367
37,1,21367,21427
38,1,21427,21504
39,1,21504,21583
40,1,21583,21646
41,1,21646,21721
42,1,21721,21795
43,1,21795,21867
44,1,21867,21953
0,2,22785,17652
1,2,17652,17789
2,2,17789,17927
3,2,17927,18079
4,2,18079,18252
5,2,18252,25583
6,2,25583,25825
7,2,25825,25987
8,2,25987,26166
9,2,26166,26508
10,2,26508,18820
