FRAME,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID
0,0,2209,2070
1,0,2070,2299
2,0,2299,2339
3,0,2339,2487
4,0,2487,2528
4,0,2487,11955
5,0,2528,2594
5,0,11955,12173
6,0,2594,2730
6,0,12173,12283
7,0,2730,2748
7,0,12283,12484
8,0,12484,12553
8,0,2748,12555
9,0,12555,12619
9,0,12553,12622
10,0,12622,12712
10,0,12619,12714
11,0,12712,12823
11,0,12714,12825
12,0,12825,3238
12,0,12823,12953
13,0,12953,12971
13,0,3238,12973
14,0,12971,3593
14,0,12973,3594
15,0,3593,3605
15,0,3594,3607
16,0,3605,3815
16,0,3607,3818
17,0,3815,4028
17,0,3818,4032
18,0,4028,4135
18,0,4032,4136
19,0,4135,4184
19,0,4136,4186
20,0,4184,4411
20,0,4186,4417
20,0,4186,4418
21,0,4411,4497
21,0,4417,4499
21,0,4418,4502
22,0,4497,4658
22,0,4499,4660
22,0,4502,4661
23,0,4658,4712
23,0,4660,4715
23,0,4661,4716
24,0,4712,4887
24,0,4715,4897
24,0,4716,4902
25,0,4887,5101
25,0,4902,13600
25,0,4897,13602
26,0,5101,5345
26,0,13602,5347
26,0,13600,5349
27,0,5345,5266
27,0,5347,5273
27,0,5349,5275
28,0,5266,5472
28,0,5273,5478
28,0,5275,5481
29,0,5472,5808
29,0,5478,5809
29,0,5481,5810
30,0,5808,5943
30,0,5809,5950
30,0,5810,5954
31,0,5943,5929
31,0,5954,5934
31,0,5950,5935
32,0,5929,6290
32,0,5934,6293
32,0,5935,6294
33,0,6290,6550
33,0,6293,6553
33,0,6294,6554
34,0,6550,6866
34,0,6553,6873
34,0,6554,6880
35,0,6866,6746
35,0,6873,6748
35,0,6880,6749
36,0,6746,7027
36,0,6748,7032
36,0,6749,7034
37,0,7027,7257
37,0,7032,7262
37,0,7034,7269
38,0,7257,7464
38,0,7269,7473
38,0,7262,138820
38,0,7262,138822
39,0,7464,7643
39,0,138820,7650
39,0,138822,7656
39,0,7473,7663
40,0,7643,7923
40,0,7650,7925
40,0,7663,7938
40,0,7656,138704
41,0,7925,8120
41,0,138704,8129
41,0,7938,8146
41,0,7923,15945
42,0,8120,8330
