TRACK_ID,FRAME,ID,POSITION_X,POSITION_Y,track_id_unique,track_id_parent
0,0,2209,819.3107398568019,286.0653937947494,18,0
52,0,10529,584.8333333333334,407.5,17,0
51,0,2225,801.057188884414,521.6250503423279,38,0
63,0,2194,884.6592252133946,246.66907419566644,1,0
4,0,2229,118.45543175487464,751.2757660167131,25,0
5,0,2230,215.3068181818182,762.9746503496503,28,0
6,0,10585,600.8333333333334,395.5,11,0
8,0,2219,565.4877734877734,398.0900900900901,14,0
7,0,2203,94.81305044035228,267.6413130504404,5,0
78,0,10587,210.16666666666663,644.8333333333334,4,0
77,0,10589,230.16666666666663,652.8333333333334,10,0
65,0,2191,922.7784275503574,209.84925276153345,35,0
51,1,2160,804.2000856898029,519.2017994858612,38,0
4,1,2177,120.0084075173096,750.9005934718101,25,0
65,1,2130,922.3301262778112,210.45580276608536,35,0
52,1,10627,583.5,410.1666666666667,17,0
63,1,2132,885.5579761068166,245.98875614898105,1,0
5,1,2181,214.01291512915128,762.4045202952029,28,0
6,1,10629,600.8333333333334,394.1666666666667,11,0
78,1,10631,211.5,644.8333333333334,4,0
7,1,2135,94.10701956271576,265.20560030686613,5,0
8,1,2152,563.1938232161874,401.482428115016,14,0
77,1,10633,232.83333333333331,651.5,10,0
0,1,2137,822.1338873499539,283.9501385041551,18,0
65,2,2112,922.5450300200132,209.78452301534355,35,0
77,2,10657,234.16666666666663,651.5,10,0
63,2,2115,885.7669310555217,245.92007321537525,1,0
7,2,2117,94.73894282632146,265.1650485436893,5,0
51,2,2133,804.4745417515275,522.2529531568229,38,0
4,2,2214,120.6495943204868,750.3052738336714,25,0
0,2,2121,821.3991436726927,284.3625118934348,18,0
5,2,2218,213.2920621225194,763.232528041415,28,0
6,2,10651,602.1666666666666,395.5,11,0
52,2,10653,583.5,411.5,17,0
8,2,2127,560.5639165911151,405.2447869446963,14,0
78,2,10655,211.5,643.5,4,0
51,3,2195,804.1836569579287,524.2228964401295,38,0
7,3,2165,95.3807994289793,263.6309778729479,5,0
4,3,2216,121.60896445131377,750.4523441524988,25,0
6,3,10680,599.5,398.1666666666667,11,0
