TRACK_ID,FRAME,ID,name,QUALITY,POSITION_T,MAX_INTENSITY,MEDIAN_INTENSITY,VISIBILITY,MEAN_INTENSITY,TOTAL_INTENSITY,ESTIMATED_DIAMETER,RADIUS,SNR,POSITION_X,POSITION_Y,STANDARD_DEVIATION,CONTRAST,MANUAL_COLOR,MIN_INTENSITY,POSITION_Z,STD_INTENSITY_CH1,SOLIDITY,TOTAL_INTENSITY_CH1,CONTRAST_CH1,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_Y0,CIRCULARITY,AREA,ELLIPSE_MAJOR,MEAN_INTENSITY_CH1,MAX_INTENSITY_CH1,MIN_INTENSITY_CH1,SNR_CH1,ELLIPSE_X0,SHAPE_INDEX,MEDIAN_INTENSITY_CH1,ELLIPSE_ASPECTRATIO,PERIMETER,ROI_N_POINTS
0,0,2209,ID2209,2095.0,0.0,,,1,,,,25.82361732126313,,819.3107398568019,286.0653937947494,,,,,0.0,41.505147374560934,0.9520563508293566,203087.0,-6.593806742413445E-4,17.40222653316434,-0.640141383328785,0.28284166537574557,0.442195418521272,2094.9999999999986,39.69510658975557,96.93890214797136,255.0,36.0,-0.003082114768332821,-1.0863876618558754,5.330866573533896,89.0,2.2810360797284477,244.0,156
52,0,10529,ID10529,-1.0,0.0,,,1,,,,10.40000008046627,,584.8333333333334,407.5,,,,,0.0,23.242923115500496,1.0,29840.0,-0.18002676703994383,10.40000008046627,0.0,0.0,1.0,339.79466667035075,10.40000008046627,85.50143266475645,146.0,34.0,-1.6152883049232447,0.0,3.5449077018110327,81.0,1.0,65.34512770025219,
51,0,2225,ID2225,2483.0,0.0,,,1,,,,28.113403340655015,,801.057188884414,521.6250503423279,,,,,0.0,42.64765969090797,0.9637104599262573,342078.0,0.23027808014884646,21.956596375688225,-1.399867491655895,-0.059127288964594675,0.5602251191369908,2483.0000000000014,36.41020646999236,137.76802255336287,255.0,66.0,1.2092957601571084,-0.12152185007927263,4.736130311363727,129.0,1.6582809943306203,236.0,132
63,0,2194,ID2194,1523.0,0.0,,,1,,,,22.017855405509252,,884.6592252133946,246.66907419566644,,,,,0.0,31.394418399120777,0.9144401080756525,124056.0,-0.17339718104646878,15.599123938579496,-0.5232387760009007,0.27688125879339326,0.39542525714192167,1522.999999999999,32.478537285151795,81.45502298095863,255.0,25.0,-1.0885304319409441,0.3710808566438753,5.637320533472527,80.0,2.08207444296448,220.0,154
4,0,2229,ID2229,2154.0,0.0,,,1,,,,26.18471872753047,,118.45543175487465,751.2757660167131,,,,,0.0,21.42801554400283,0.9667863554757626,150717.0,-0.09410906730405129,20.085637419419196,2.986882577215626,0.043266231488512594,0.5394603456499052,2153.999999999999,33.981705767306515,69.9707520891365,148.0,23.0,-0.6784535846855672,-0.0779188196349364,4.826420632192004,67.0,1.691841043314479,224.0,128
5,0,2230,ID2230,2288.0,0.0,,,1,,,,26.98690459442342,,215.3068181818182,762.9746503496503,,,,,0.0,36.577142018185434,0.9527378721632298,190547.0,-0.03339911023634033,17.887763579331036,0.4401710517141406,-2.5144035139770975,0.4063521957947559,2287.999999999997,44.35855918613956,83.28103146853147,244.0,29.0,-0.157345392168239,-2.686138841377977,5.561009366547157,73.0,2.4798270051710105,266.0,154
6,0,10585,ID10585,-1.0,0.0,,,1,,,,10.40000008046627,,600.8333333333334,395.5,,,,,0.0,22.553586464787855,1.0,24948.0,-0.10833501478212818,10.40000008046627,0.0,0.0,1.0,339.79466667035075,10.40000008046627,71.48424068767908,153.0,36.0,-0.7701792703340573,0.0,3.5449077018110327,69.0,1.0,65.34512770025219,
8,0,2219,ID2219,777.0,0.0,,,1,,,,15.726626515715484,,565.4877734877734,398.0900900900901,,,,,0.0,42.85949006650255,0.9504587155963306,101251.0,0.03815591153461,12.681977337166506,2.053471327519416,-0.03128032319289557,0.5437775655690062,777.0,19.583054890401872,130.31016731016732,245.0,35.0,0.22349126328518712,0.003221767607329773,4.807223222338974,132.0,1.544164160663707,134.0,80
7,0,2203,ID2203,2498.0,0.0,,,1,,,,28.198193128055376,,94.81305044035228,267.6413130504404,,,,,0.0,52.16072404515029,0.9618790912591457,356881.0,0.24846135009386985,22.833619764905226,1.259558265557449,0.5208648530511512,0.5541768553539513,2498.000000000001,34.712222226735555,142.86669335468375,255.0,37.0,1.0901872946462792,-0.033786335352928444,4.761905143162132,130.0,1.5202242388255707,238.0,138
78,0,10587,ID10587,-1.0,0.0,,,1,,,,11.2000000923872,,210.16666666666666,644.8333333333334,,,,,0.0,14.148184939214437,1.0,23730.0,-0.28025477707006363,11.2000000923872,0.0,0.0,1.0000000000000002,394.0813889677457,11.2000000923872,57.45762711864407,98.0,26.0,-3.162650396789969,0.0,3.544907701811032,55.0,1.0,70.37167602089725,
