spot_id,track_id_unique,track_id_parent
2194,1,0
2132,1,0
2115,1,0
2158,1,0
2097,1,0
2141,1,0
2200,1,0
2173,1,0
2066,1,0
2069,1,0
2157,1,0
2087,1,0
2247,1,0
2264,1,0
2260,1,0
11322,1,0
11370,1,0
2324,1,0
11475,1,0
11519,1,0
11532,1,0
11541,1,0
11551,1,0
11563,1,0
11568,1,0
11575,1,0
11591,1,0
11599,1,0
138961,1,0
11609,1,0
11617,1,0
11631,1,0
11641,1,0
11651,1,0
11660,1,0
11822,1,0
11886,1,0
11903,1,0
11911,1,0
11935,1,0
11957,1,0
11974,1,0
11986,1,0
12008,1,0
12028,1,0
12035,1,0
12126,1,0
12146,1,0
12175,1,0
10952,1,0
10956,1,0
12207,1,0
12233,1,0
12248,1,0
12268,1,0
12278,1,0
12285,1,0
12295,1,0
12318,1,0
12335,1,0
12342,1,0
12354,1,0
12361,1,0
12479,1,0
12486,1,0
12493,1,0
12502,1,0
12506,1,0
12524,1,0
2889,1,0
2830,1,0
2846,1,0
2841,1,0
2941,1,0
12573,1,0
2876,1,0
2871,1,0
12588,1,0
12605,1,0
12616,1,0
12624,1,0
19092,1,0
12651,1,0
12666,1,0
3027,1,0
3093,1,0
12703,1,0
3034,1,0
3082,1,0
3054,1,0
3061,1,0
3133,1,0
3081,1,0
3185,1,0
3109,1,0
3154,1,0
3138,1,0
3279,1,0
3209,1,0
3286,1,0
3223,1,0
3356,1,0
3346,1,0
3388,1,0
12951,1,0
3252,1,0
3396,1,0
3269,1,0
3455,1,0
3293,1,0
3328,1,0
3355,1,0
3392,1,0
3412,1,0
3520,1,0
3556,1,0
3487,1,0
3472,1,0
3570,1,0
3491,1,0
3591,1,0
3634,1,0
3516,1,0
3525,1,0
3710,1,0
3732,1,0
3723,1,0
3622,1,0
3601,1,0
3664,1,0
3648,1,0
3643,1,0
3690,1,0
3825,1,0
3784,1,0
3773,1,0
3810,1,0
3950,1,0
3857,1,0
3807,1,0
3835,1,0
3837,1,0
3916,1,0
3971,1,0
4019,1,0
3906,1,0
3913,1,0
3976,1,0
4112,1,0
4018,1,0
4000,1,0
4012,1,0
4133,1,0
4071,1,0
4083,1,0
4103,1,0
4257,1,0
4144,1,0
4273,1,0
4167,1,0
4178,1,0
4329,1,0
4196,1,0
4216,1,0
4226,1,0
4242,1,0
4349,1,0
4283,1,0
4408,1,0
4309,1,0
4327,1,0
4342,1,0
4367,1,0
4440,1,0
4441,1,0
4413,1,0
4487,1,0
4482,1,0
4519,1,0
4561,1,0
4526,1,0
4534,1,0
4476,1,0
4598,1,0
4657,1,0
4730,1,0
4621,1,0
4620,1,0
4672,1,0
4677,1,0
4757,1,0
4749,1,0
4713,1,0
4835,1,0
4828,1,0
4787,1,0
4789,1,0
4807,1,0
4916,1,0
13480,1,0
4889,1,0
4870,1,0
5000,1,0
4935,1,0
4948,1,0
4982,1,0
4988,1,0
5051,1,0
5105,1,0
5047,1,0
5010,1,0
5174,1,0
5050,1,0
5108,1,0
5147,1,0
5084,1,0
5342,1,0
5181,1,0
5208,1,0
5213,1,0
5262,1,0
5390,1,0
5251,1,0
5418,1,0
5263,1,0
5312,1,0
5322,1,0
5350,1,0
5528,1,0
5401,1,0
5395,1,0
5456,1,0
5468,1,0
13839,1,0
5511,1,0
5569,1,0
5543,1,0
5644,1,0
5606,1,0
5626,1,0
5806,1,0
5741,1,0
5636,1,0
5703,1,0
5702,1,0
5700,1,0
5732,1,0
5893,1,0
5940,1,0
5818,1,0
5832,1,0
5849,1,0
6069,1,0
5915,1,0
5959,1,0
6034,1,0
5927,1,0
5977,1,0
6222,1,0
6044,1,0
6055,1,0
6072,1,0
6141,1,0
6173,1,0
6288,1,0
6202,1,0
6228,1,0
6360,1,0
6313,1,0
6444,1,0
6302,1,0
6366,1,0
6528,1,0
6372,1,0
6388,1,0
6491,1,0
6420,1,0
6537,1,0
6564,2,1
14504,2,1
14512,2,1
14538,2,1
14548,2,1
14558,2,1
14563,2,1
14606,2,1
14629,2,1
14648,2,1
14653,2,1
14664,2,1
14674,2,1
14685,2,1
14723,2,1
14753,2,1
14787,2,1
14814,2,1
14841,2,1
14913,2,1
14945,2,1
14958,2,1
14996,2,1
15030,2,1
15068,2,1
15090,2,1
15099,2,1
15110,2,1
15126,2,1
15141,2,1
15156,2,1
15199,2,1
15183,2,1
15212,2,1
15231,2,1
15251,2,1
15272,2,1
15297,2,1
15325,2,1
15337,2,1
15361,2,1
15378,2,1
15688,2,1
15695,2,1
15701,2,1
15710,2,1
15722,2,1
15739,2,1
15758,2,1
15779,2,1
15808,2,1
15815,2,1
15834,2,1
15864,2,1
15875,2,1
15886,2,1
15899,2,1
15919,2,1
15957,2,1
15973,2,1
15987,2,1
15994,2,1
16011,2,1
16023,2,1
16042,2,1
16049,2,1
16060,2,1
16072,2,1
16161,2,1
16173,2,1
16187,2,1
16199,2,1
16215,2,1
16226,2,1
16258,2,1
16266,2,1
16278,2,1
16298,2,1
16315,2,1
16474,2,1
16496,2,1
16516,2,1
19210,2,1
16575,2,1
16628,2,1
16639,2,1
16685,2,1
16692,2,1
16727,2,1
16735,2,1
16755,2,1
16781,2,1
16787,2,1
16805,2,1
16825,2,1
16837,2,1
16847,2,1
16856,2,1
